大分類,小分類,八戸,福島,いわき,ＹＳ横浜,相模原,松本,長野,富山,藤枝,沼津,岐阜,鳥取,讃岐,愛媛,今治,北九州,宮崎,鹿児島,"Ｊ３
 総合計","Ｊ３
 平均"
,,2023年1月期,2023年1月期,2022年12月期,2023年1月期,2023年1月期,2023年1月期,2022年12月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2022年12月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,,
売上高,合計,401,431,770,158,762,"1,510",758,677,405,434,877,486,406,788,"1,045","1,023",325,759,"12,015",668
売上高,スポンサー収入,206,249,406,89,427,839,358,414,297,230,466,198,196,351,617,494,209,397,"6,443",358
売上高,入場料収入,10,19,32,21,48,274,61,44,23,16,79,32,29,45,34,100,23,41,931,52
売上高,Ｊリーグ配分金,28,28,29,32,129,129,31,30,29,28,32,30,29,124,33,121,28,31,921,51
売上高,アカデミー関連収入,0,21,8,0,86,23,41,81,16,45,73,50,41,88,35,95,8,0,711,40
売上高,女子チーム関連収入,0,0,0,0,0,0,173,0,0,0,0,0,0,66,0,0,0,0,239,13
売上高,物販収入,32,34,63,10,35,126,13,52,13,66,81,74,24,43,60,53,13,126,918,51
売上高,その他収入,125,80,232,6,37,119,81,56,27,49,146,102,87,71,266,160,44,164,"1,852",103
売上原価,小計,229,301,361,149,496,"1,223",494,600,315,230,861,222,327,603,677,789,214,515,"8,606",478
売上原価,トップチーム人件費,108,132,192,64,232,512,177,278,201,94,411,114,133,274,304,307,101,232,"3,866",215
売上原価,試合関連経費（ホームゲーム開催費）,24,38,24,45,73,149,41,66,21,23,120,18,38,36,106,70,31,74,997,55
売上原価,トップチーム運営経費,53,63,68,32,81,161,77,100,71,57,94,47,77,98,120,102,44,138,"1,483",82
売上原価,アカデミー関連経費,0,32,34,0,85,104,75,115,8,15,88,36,65,122,65,163,26,0,"1,033",57
売上原価,女子チーム関連経費,0,0,3,0,0,0,119,0,7,0,0,0,0,37,19,0,0,0,185,10
売上原価,物販関連費,31,17,40,8,25,79,3,41,7,41,62,7,16,36,20,44,12,69,558,31
売上原価,その他売上原価,13,19,0,0,0,218,2,0,0,0,86,0,0,0,43,103,0,2,486,27
販売費および一般管理費,販売費および一般管理費,186,155,428,66,284,417,286,237,90,176,149,250,119,182,411,214,104,278,"4,032",224
営業利益,小計,▲ 14,▲ 25,▲ 19,▲ 57,▲ 18,▲ 130,▲ 22,▲ 160,0,28,▲ 133,14,▲ 40,3,▲ 43,20,7,▲ 34,▲ 623,▲ 35
経常利益,営業外収益,18,1,28,2,12,28,0,13,4,7,2,3,8,11,55,1,1,2,196,11
経常利益,営業外費用,2,1,0,1,0,0,0,6,1,3,1,6,11,1,2,1,0,4,40,2
経常利益,小計,2,▲ 25,9,▲ 56,▲ 6,▲ 102,▲ 22,▲ 153,3,32,▲ 132,11,▲ 43,13,10,20,8,▲ 36,▲ 467,▲ 26
税引前当期利益,特別利益,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,127,7
税引前当期利益,特別損失,0,0,0,0,1,10,0,0,0,125,0,3,0,0,0,3,0,0,142,8
税引前当期利益,小計,2,▲ 25,9,▲ 56,▲ 7,▲ 112,▲ 22,▲ 153,3,34,▲ 132,8,▲ 43,13,10,17,8,▲ 36,▲ 482,▲ 27
法人税および住民税等,法人税および住民税等,0,0,1,1,11,1,0,0,0,0,0,3,0,2,3,7,2,0,31,2
当期純利益,合計,2,▲ 25,8,▲ 57,▲ 18,▲ 113,▲ 22,▲ 153,3,34,▲ 132,5,▲ 43,11,7,10,6,▲ 36,▲ 513,▲ 29
