match_id,label,home_id,away_id,home_score,away_score,home_scoreET,away_scoreET,home_count,away_count,total_pass
1694440,"Portugal - France, 1 - 0 (E)",9905,4418,0,0,1,0,160,184,344
1694439,"Germany - France, 0 - 2",3148,4418,0,2,0,0,156,112,268
1694438,"Portugal - Wales, 2 - 0",9905,10682,2,0,0,0,120,131,251
1694437,"France - Iceland, 5 - 2",4418,7839,5,2,0,0,130,116,246
1694436,"Germany - Italy, 1 - 1 (P)",3148,3757,1,1,1,1,189,165,354
1694435,"Wales - Belgium, 3 - 1",10682,5629,3,1,0,0,101,136,237
1694434,"Poland - Portugal, 1 - 1 (P)",13869,9905,1,1,1,1,185,190,375
1694433,"England - Iceland, 1 - 2",2413,7839,1,2,0,0,164,127,291
1694432,"Italy - Spain, 2 - 0",3757,1598,2,0,0,0,127,164,291
1694431,"Hungary - Belgium, 0 - 4",10451,5629,0,4,0,0,127,141,268
1694430,"Germany - Slovakia, 3 - 0",3148,14496,3,0,0,0,156,121,277
1694429,"France - Republic of Ireland, 2 - 1",4418,8274,2,1,0,0,170,105,275
1694428,"Croatia - Portugal, 0 - 1 (E)",9598,9905,0,0,0,1,229,172,401
1694427,"Wales - Northern Ireland, 1 - 0",10682,10962,1,0,0,0,149,135,284
1694426,"Switzerland - Poland, 1 - 1 (P)",6697,13869,1,1,1,1,171,160,331
1694419,"Sweden - Belgium, 0 - 1",7047,5629,0,1,0,0,133,142,275
1694418,"Italy - Republic of Ireland, 0 - 1",3757,8274,0,1,0,0,126,113,239
1694424,"Hungary - Portugal, 3 - 3",10451,9905,3,3,0,0,98,133,231
1694425,"Iceland - Austria, 2 - 1",7839,9109,2,1,0,0,126,170,296
1694413,"Czech Republic - Turkey, 0 - 2",11555,4687,0,2,0,0,144,133,277
1694412,"Croatia - Spain, 2 - 1",9598,1598,2,1,0,0,122,131,253
1694406,"Ukraine - Poland, 0 - 1",14622,13869,0,1,0,0,170,127,297
1694407,"Northern Ireland - Germany, 0 - 1",10962,3148,0,1,0,0,75,175,250
1694400,"Slovakia - England, 0 - 0",14496,2413,0,0,0,0,100,142,242
1694401,"Russia - Wales, 0 - 3",14358,10682,0,3,0,0,136,157,293
1694394,"Switzerland - France, 0 - 0",6697,4418,0,0,0,0,121,121,242
1694395,"Romania - Albania, 0 - 1",11944,8731,0,1,0,0,141,128,269
1694423,"Portugal - Austria, 0 - 0",9905,9109,0,0,0,0,164,133,297
1694422,"Iceland - Hungary, 1 - 1",7839,10451,1,1,0,0,110,167,277
1694417,"Belgium - Republic of Ireland, 3 - 0",5629,8274,3,0,0,0,136,126,262
1694411,"Spain - Turkey, 3 - 0",1598,4687,3,0,0,0,144,116,260
1694410,"Czech Republic - Croatia, 2 - 2",11555,9598,2,2,0,0,141,141,282
1694416,"Italy - Sweden, 1 - 0",3757,7047,1,0,0,0,131,142,273
1694405,"Germany - Poland, 0 - 0",3148,13869,0,0,0,0,173,128,301
1694404,"Ukraine - Northern Ireland, 0 - 2",14622,10962,0,2,0,0,153,127,280
1694399,"England - Wales, 2 - 1",2413,10682,2,1,0,0,181,106,287
1694393,"France - Albania, 2 - 0",4418,8731,2,0,0,0,156,127,283
1694392,"Romania - Switzerland, 1 - 1",11944,6697,1,1,0,0,130,155,285
1694398,"Russia - Slovakia, 1 - 2",14358,14496,1,2,0,0,143,119,262
1694421,"Portugal - Iceland, 1 - 1",9905,7839,1,1,0,0,162,105,267
1694420,"Austria - Hungary, 0 - 2",9109,10451,0,2,0,0,166,164,330
1694415,"Belgium - Italy, 0 - 2",5629,3757,0,2,0,0,159,151,310
1694414,"Republic of Ireland - Sweden, 1 - 1",8274,7047,1,1,0,0,100,139,239
1694409,"Spain - Czech Republic, 1 - 0",1598,11555,1,0,0,0,156,111,267
1694403,"Germany - Ukraine, 2 - 0",3148,14622,2,0,0,0,141,124,265
1694402,"Poland - Northern Ireland, 1 - 0",13869,10962,1,0,0,0,132,109,241
1694408,"Turkey - Croatia, 0 - 1",4687,9598,0,1,0,0,123,147,270
1694397,"England - Russia, 1 - 1",2413,14358,1,1,0,0,152,131,283
1694396,"Wales - Slovakia, 2 - 1",10682,14496,2,1,0,0,133,146,279
1694391,"Albania - Switzerland, 0 - 1",8731,6697,0,1,0,0,133,121,254
1694390,"France - Romania, 2 - 1",4418,11944,2,1,0,0,179,152,331
