match_id,label,home_id,away_id,home_score,away_score,home_scoreET,away_scoreET,home_count,away_count,total_pass
2501056,"Caen - PSG, 0 - 0",3783,3767,0,0,0,0,109,167,276
2501057,"Dijon - Angers SCO, 2 - 1",3804,3799,2,1,0,0,153,156,309
2501058,"Olympique Lyonnais - Nice, 3 - 2",3766,3775,3,2,0,0,141,142,283
2501059,"Olympique Marseille - Amiens SC, 2 - 1",3771,3789,2,1,0,0,180,130,310
2501060,"Metz - Bordeaux, 0 - 4",3777,3772,0,4,0,0,123,153,276
2501061,"Nantes - Strasbourg, 1 - 0",3770,3779,1,0,0,0,153,161,314
2501062,"Rennes - Montpellier, 1 - 1",3774,3787,1,1,0,0,162,139,301
2501063,"Saint-\u00c9tienne - Lille, 5 - 0",3782,3776,5,0,0,0,138,147,285
2501064,"Toulouse - Guingamp, 2 - 1",3780,3785,2,1,0,0,160,154,314
2501065,"Troyes - Monaco, 0 - 3",3795,19830,0,3,0,0,158,172,330
2501046,"Amiens SC - Metz, 2 - 0",3789,3777,2,0,0,0,135,158,293
2501047,"Angers SCO - Nantes, 0 - 2",3799,3770,0,2,0,0,163,164,327
2501048,"Bordeaux - Toulouse, 4 - 2",3772,3780,4,2,0,0,180,156,336
2501050,"Lille - Dijon, 2 - 1",3776,3804,2,1,0,0,173,174,347
2501051,"Monaco - Saint-\u00c9tienne, 1 - 0",19830,3782,1,0,0,0,153,176,329
2501052,"Montpellier - Troyes, 1 - 1",3787,3795,1,1,0,0,192,171,363
2501053,"Nice - Caen, 4 - 1",3775,3783,4,1,0,0,154,124,278
2501054,"PSG - Rennes, 0 - 2",3767,3774,0,2,0,0,149,108,257
2501055,"Strasbourg - Olympique Lyonnais, 3 - 2",3779,3766,3,2,0,0,114,168,282
2501049,"Guingamp - Olympique Marseille, 3 - 3",3785,3771,3,3,0,0,134,156,290
2501040,"Olympique Marseille - Nice, 2 - 1",3771,3775,2,1,0,0,144,147,291
2501037,"Caen - Monaco, 1 - 2",3783,19830,1,2,0,0,143,147,290
2501038,"Dijon - Guingamp, 3 - 1",3804,3785,3,1,0,0,176,168,344
2501041,"Metz - Angers SCO, 1 - 2",3777,3799,1,2,0,0,150,177,327
2501042,"Nantes - Montpellier, 0 - 2",3770,3787,0,2,0,0,156,137,293
2501043,"Rennes - Strasbourg, 2 - 1",3774,3779,2,1,0,0,122,134,256
2501045,"Toulouse - Lille, 2 - 3",3780,3776,2,3,0,0,127,192,319
2501039,"Olympique Lyonnais - Troyes, 3 - 0",3766,3795,3,0,0,0,128,131,259
2501044,"Saint-\u00c9tienne - Bordeaux, 1 - 3",3782,3772,1,3,0,0,134,126,260
2501036,"Amiens SC - PSG, 2 - 2",3789,3767,2,2,0,0,119,185,304
2501032,"PSG - Guingamp, 2 - 2",3767,3785,2,2,0,0,181,148,329
2501026,"Angers SCO - Olympique Marseille, 1 - 1",3799,3771,1,1,0,0,162,172,334
2501033,"Rennes - Toulouse, 2 - 1",3774,3780,2,1,0,0,153,163,316
