match_id,label,home_id,away_id,home_score,away_score,home_scoreET,away_scoreET,home_count,away_count,total_pass
2058017,"France - Croatia, 4 - 2",4418,9598,4,2,0,0,49,68,117
2058016,"Belgium - England, 2 - 0",5629,2413,2,0,0,0,43,53,96
2058015,"Croatia - England, 2 - 1 (E)",9598,2413,1,1,2,1,98,77,175
2058014,"France - Belgium, 1 - 0",4418,5629,1,0,0,0,51,59,110
2058012,"Russia - Croatia, 2 - 2 (P)",14358,9598,1,1,2,2,57,103,160
2058013,"Sweden - England, 0 - 2",7047,2413,0,2,0,0,51,60,111
2058011,"Brazil - Belgium, 1 - 2",6380,5629,1,2,0,0,70,49,119
2058010,"Uruguay - France, 0 - 2",15670,4418,0,2,0,0,58,51,109
2058009,"Colombia - England, 1 - 1 (P)",12430,2413,1,1,1,1,55,72,127
2058008,"Sweden - Switzerland, 1 - 0",7047,6697,1,0,0,0,42,72,114
2058007,"Belgium - Japan, 3 - 2",5629,12913,3,2,0,0,79,45,124
2058006,"Brazil - Mexico, 2 - 0",6380,15473,2,0,0,0,60,57,117
2058005,"Croatia - Denmark, 1 - 1 (P)",9598,7712,1,1,1,1,84,68,152
2058004,"Spain - Russia, 1 - 1 (P)",1598,14358,1,1,1,1,88,54,142
2058002,"Uruguay - Portugal, 2 - 1",15670,9905,2,1,0,0,39,76,115
2058003,"France - Argentina, 4 - 3",4418,12274,4,3,0,0,41,60,101
2057994,"England - Belgium, 0 - 1",2413,5629,0,1,0,0,61,46,107
2057995,"Panama - Tunisia, 1 - 2",17929,16276,1,2,0,0,45,69,114
2058000,"Japan - Poland, 0 - 1",12913,13869,0,1,0,0,58,50,108
2058001,"Senegal - Colombia, 0 - 1",19314,12430,0,1,0,0,48,60,108
2057982,"Serbia - Brazil, 0 - 2",17322,6380,0,2,0,0,50,59,109
2057983,"Switzerland - Costa Rica, 2 - 2",6697,16871,2,2,0,0,66,58,124
2057989,"Mexico - Sweden, 0 - 3",15473,7047,0,3,0,0,74,32,106
2057988,"Korea Republic - Germany, 2 - 0",14855,3148,2,0,0,0,40,86,126
2057976,"Nigeria - Argentina, 1 - 2",16823,12274,1,2,0,0,42,71,113
2057977,"Iceland - Croatia, 1 - 2",7839,9598,1,2,0,0,51,54,105
2057971,"Australia - Peru, 0 - 2",8493,15594,0,2,0,0,69,41,110
2057970,"Denmark - France, 0 - 0",7712,4418,0,0,0,0,40,60,100
2057965,"Spain - Morocco, 2 - 2",1598,16216,2,2,0,0,61,37,98
2057964,"Iran - Portugal, 1 - 1",10840,9905,1,1,0,0,34,61,95
2057959,"Saudi Arabia - Egypt, 2 - 1",16521,16129,2,1,0,0,71,40,111
2057958,"Uruguay - Russia, 3 - 0",15670,14358,3,0,0,0,54,46,100
2057998,"Poland - Colombia, 0 - 3",13869,12430,0,3,0,0,54,55,109
2057999,"Japan - Senegal, 2 - 2",12913,19314,2,2,0,0,59,51,110
2057993,"England - Panama, 6 - 1",2413,17929,6,1,0,0,47,35,82
2057986,"Germany - Sweden, 2 - 1",3148,7047,2,1,0,0,77,34,111
2057987,"Korea Republic - Mexico, 1 - 2",14855,15473,1,2,0,0,59,56,115
2057992,"Belgium - Tunisia, 5 - 2",5629,16276,5,2,0,0,66,62,128
2057981,"Serbia - Switzerland, 1 - 2",17322,6697,1,2,0,0,57,71,128
2057975,"Nigeria - Iceland, 2 - 0",16823,7839,2,0,0,0,51,49,100
2057980,"Brazil - Costa Rica, 2 - 0",6380,16871,2,0,0,0,76,42,118
2057974,"Argentina - Croatia, 0 - 3",12274,9598,0,3,0,0,74,62,136
2057968,"France - Peru, 1 - 0",4418,15594,1,0,0,0,55,74,129
2057969,"Denmark - Australia, 1 - 1",7712,8493,1,1,0,0,47,55,102
2057963,"Iran - Spain, 0 - 1",10840,1598,0,1,0,0,34,69,103
2057957,"Uruguay - Saudi Arabia, 1 - 0",15670,16521,1,0,0,0,55,61,116
2057962,"Portugal - Morocco, 1 - 0",9905,16216,1,0,0,0,64,59,123
2057956,"Russia - Egypt, 3 - 1",14358,16129,3,1,0,0,55,57,112
2057996,"Poland - Senegal, 1 - 2",13869,19314,1,2,0,0,63,43,106
2057997,"Colombia - Japan, 1 - 2",12430,12913,1,2,0,0,54,63,117
2057991,"Tunisia - England, 1 - 2",16276,2413,1,2,0,0,49,59,108
2057990,"Belgium - Panama, 3 - 0",5629,17929,3,0,0,0,59,51,110
2057985,"Sweden - Korea Republic, 1 - 0",7047,14855,1,0,0,0,57,61,118
2057978,"Brazil - Switzerland, 1 - 1",6380,6697,1,1,0,0,71,47,118
2057984,"Germany - Mexico, 0 - 1",3148,15473,0,1,0,0,78,47,125
2057979,"Costa Rica - Serbia, 0 - 1",16871,17322,0,1,0,0,57,56,113
2057973,"Croatia - Nigeria, 2 - 0",9598,16823,2,0,0,0,67,49,116
2057967,"Peru - Denmark, 0 - 1",15594,7712,0,1,0,0,65,54,119
2057972,"Argentina - Iceland, 1 - 1",12274,7839,1,1,0,0,61,36,97
2057966,"France - Australia, 2 - 1",4418,8493,2,1,0,0,63,55,118
2057960,"Portugal - Spain, 3 - 3",9905,1598,3,3,0,0,50,46,96
2057961,"Morocco - Iran, 0 - 1",16216,10840,0,1,0,0,78,34,112
2057955,"Egypt - Uruguay, 0 - 1",16129,15670,0,1,0,0,59,54,113
2057954,"Russia - Saudi Arabia, 5 - 0",14358,16521,5,0,0,0,49,74,123
