予想,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2023年,神戸,横浜FM,広島,浦和,鹿島,名古屋,福岡,川崎,C大阪,新潟,F東京,札幌,京都,鳥栖,湘南,G大阪,柏,町田,磐田,東京V
Gota,浦和,広島,横浜FM,神戸,鹿島,町田,福岡,C大阪,川崎,名古屋,F東京,新潟,鳥栖,磐田,札幌,G大阪,湘南,京都,柏,東京V
Yuda,浦和,横浜FM,神戸,C大阪,川崎,G大阪,広島,F東京,鹿島,名古屋,福岡,柏,町田,札幌,新潟,鳥栖,湘南,京都,東京V,磐田
Katashin,浦和,広島,神戸,横浜FM,C大阪,川崎,名古屋,町田,福岡,G大阪,鹿島,鳥栖,札幌,F東京,東京V,新潟,京都,湘南,磐田,柏
Kondo,川崎,横浜FM,浦和,神戸,名古屋,F東京,鹿島,広島,町田,C大阪,鳥栖,札幌,福岡,東京V,G大阪,磐田,京都,新潟,柏,湘南
Kosuke,G大阪,広島,浦和,川崎,福岡,横浜FM,C大阪,町田,F東京,神戸,鹿島,京都,鳥栖,名古屋,札幌,東京V,柏,湘南,新潟,磐田
Taka,浦和,横浜FM,柏,神戸,C大阪,川崎,鹿島,東京V,G大阪,広島,F東京,鳥栖,町田,磐田,新潟,福岡,名古屋,札幌,京都,湘南
Kaito,神戸,浦和,横浜FM,鹿島,川崎,C大阪,町田,名古屋,F東京,広島,鳥栖,札幌,福岡,京都,磐田,新潟,湘南,G大阪,柏,東京V
Jo,川崎,神戸,横浜FM,広島,C大阪,F東京,浦和,鹿島,町田,名古屋,G大阪,新潟,磐田,鳥栖,札幌,柏,福岡,京都,湘南,東京V
Seiya,横浜FM,浦和,神戸,鹿島,川崎,C大阪,福岡,広島,名古屋,F東京,新潟,鳥栖,札幌,磐田,町田,柏,京都,湘南,G大阪,東京V
Seigo,横浜FM,川崎,浦和,鹿島,名古屋,広島,神戸,福岡,C大阪,町田,F東京,札幌,G大阪,柏,東京V,鳥栖,京都,新潟,磐田,湘南
Takuro,浦和,神戸,横浜FM,川崎,広島,F東京,C大阪,名古屋,町田,新潟,鹿島,磐田,札幌,福岡,G大阪,京都,東京V,鳥栖,柏,湘南
300人,広島,浦和,神戸,横浜FM,川崎,C大阪,名古屋,鹿島,F東京,新潟,福岡,町田,G大阪,鳥栖,札幌,京都,柏,磐田,湘南,東京V
岩本輝雄,川崎,広島,神戸,横浜,C大阪,浦和,F東京,名古屋,町田,鹿島,札幌,福岡,新潟,鳥栖,G大阪,柏,湘南,京都,磐田,東京V
Transfermarkt市場価値総額,浦和,神戸,G大阪,C大阪,横浜FM,川崎,鹿島,町田,広島,名古屋,F東京,京都,柏,福岡,新潟,鳥栖,磐田,札幌,湘南,東京V
Transfermarkt市場価値平均,浦和,C大阪,鹿島,G大阪,神戸,横浜FM,広島,川崎,名古屋,町田,京都,柏,F東京,福岡,新潟,湘南,札幌,磐田,鳥栖,東京V
AKR,広島,横浜FM,浦和,神戸,F東京,C大阪,川崎,鹿島,名古屋,福岡,新潟,鳥栖,札幌,G大阪,町田,柏,京都,東京V,湘南,磐田
KanzawaShacho,浦和,広島,神戸,横浜FM,鹿島,C大阪,川崎,F東京,福岡,町田,名古屋,札幌,鳥栖,G大阪,京都,柏,新潟,東京V,湘南,磐田
