大分類,小分類,岩手,仙台,秋田,山形,水戸,栃木,群馬,大宮,千葉,東京Ｖ,町田,横浜ＦＣ,甲府,新潟,金沢,岡山,山口,徳島,長崎,熊本,大分,琉球,"Ｊ２
 総合計","Ｊ２
 平均"
,,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2023年1月期,2022年12月期,2023年1月期,2023年1月期,2023年1月期,,
売上高,合計,672,"2,666",877,"2,192","1,024","1,041",717,"2,638","2,638","2,116","1,919","2,861","1,564","2,539",863,"1,882","1,118","2,222","2,064",978,"1,827","1,599","38,017","1,728"
売上高,スポンサー収入,357,"1,754",404,868,507,546,344,"1,542","1,700",560,"1,479","1,230",749,928,329,788,549,"1,342","1,335",403,674,219,"18,607",846
売上高,入場料収入,35,316,48,234,90,116,80,229,225,154,84,215,189,596,63,237,123,135,165,157,319,37,"3,847",175
売上高,Ｊリーグ配分金,158,303,159,160,160,155,159,163,157,160,154,289,165,177,156,173,159,288,161,169,294,154,"4,073",185
売上高,アカデミー関連収入,27,63,56,0,24,76,0,198,127,194,34,194,19,165,66,17,39,73,34,0,44,73,"1,523",69
売上高,女子チーム関連収入,0,0,0,0,0,0,0,323,146,374,0,0,0,0,0,0,0,0,0,0,0,0,843,38
売上高,物販収入,42,16,44,180,78,84,59,108,139,141,71,120,154,447,84,129,106,85,160,70,225,37,"2,579",117
売上高,その他収入,53,214,166,750,165,64,75,75,144,533,97,813,288,226,165,538,142,299,209,179,271,"1,079","6,545",298
売上原価,小計,613,"2,054",583,"1,760",758,691,598,"1,564","2,045","1,507","1,317","2,592","1,133","1,815",670,"1,294",795,"1,737","2,211",603,"1,728",682,"28,750","1,307"
売上原価,トップチーム人件費,348,"1,062",256,787,346,305,338,583,857,490,744,"1,753",640,756,325,579,425,"1,171","1,350",301,"1,070",368,"14,854",675
売上原価,試合関連経費（ホームゲーム開催費）,66,102,60,146,109,105,89,175,172,130,183,123,77,255,65,156,89,96,194,84,98,79,"2,653",121
売上原価,トップチーム運営経費,110,254,133,199,106,134,102,243,274,316,219,286,218,219,119,159,129,220,306,97,184,124,"4,151",189
売上原価,アカデミー関連経費,58,258,99,0,71,104,18,309,241,205,106,305,87,269,91,34,32,162,193,62,140,95,"2,939",134
売上原価,女子チーム関連経費,0,0,0,0,0,0,0,203,227,245,0,0,0,0,0,0,11,0,0,0,8,0,694,32
売上原価,物販関連費,31,3,35,125,74,43,36,45,116,104,52,98,105,316,53,85,53,67,168,58,124,16,"1,807",82
売上原価,その他売上原価,0,375,0,503,52,0,15,6,158,17,13,27,6,0,17,281,56,21,0,1,104,0,"1,652",75
販売費および一般管理費,販売費および一般管理費,161,438,294,435,261,340,175,790,569,595,561,476,395,728,195,583,270,449,806,281,286,329,"9,417",428
営業利益,小計,▲ 102,174,0,▲ 3,5,10,▲ 56,284,24,14,41,▲ 207,36,▲ 4,▲ 2,5,53,36,▲ 953,94,▲ 187,588,▲ 150,▲ 7
経常利益,営業外収益,11,24,2,18,1,1,16,17,68,22,2,50,25,210,5,23,22,16,4,8,2,0,547,25
経常利益,営業外費用,0,6,1,2,0,2,0,8,45,18,0,18,6,22,0,4,1,0,2,1,1,2,139,6
経常利益,小計,▲ 91,192,1,13,6,9,▲ 40,293,47,18,43,▲ 175,55,184,3,24,74,52,▲ 951,101,▲ 186,586,258,12
税引前当期利益,特別利益,7,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,969,44
税引前当期利益,特別損失,0,10,0,0,0,3,0,0,6,0,40,0,14,2,0,0,1,90,0,0,0,0,166,8
税引前当期利益,小計,▲ 84,182,11,13,8,6,▲ 40,293,41,18,3,▲ 175,41,182,3,24,73,▲ 38,▲ 1,101,▲ 186,586,"1,061",48
法人税および住民税等,法人税および住民税等,3,28,5,3,2,2,3,93,9,2,2,1,15,83,2,7,0,▲ 10,3,20,0,0,273,12
当期純利益,合計,▲ 87,154,6,10,6,4,▲ 43,200,32,16,1,▲ 176,26,99,1,17,73,▲ 28,▲ 4,81,▲ 186,586,788,36
