試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
1,,,1992.04.04,浦和国際親善サッカー,ポート・オーソリティ(タイ),浦和市駒場競技場,I,H,○ 3 - 0,3,0,"4,000人"
2,,,1992.07.11,東南アジア遠征,ポート・オーソリティ(タイ),バンコク,I,A,○ 3 - 2,3,2,"5,000人"
3,,,1992.07.14,東南アジア遠征,タイ・ユース代表,バンコク,I,A,○ 1 - 0,1,0,"6,000人"
4,,,1992.07.17,東南アジア遠征,KLポリス(マレーシア),クアラルンプール,I,A,○ 1 - 0,1,0,100人
5,,,1992.07.21,東南アジア遠征,KLアーミー(マレーシア),クアラルンプール,I,A,○ 3 - 0,3,0,500人
6,,,1992.08.02,Jリーグオープン戦,ジェフユナイテッド市原,山形県あかねヶ丘陸上競技場,P,A,△ 0 - 0,0,0,"10,000人"
7,,,1992.08.09,朝霞市制25周年記念試合 朝霞サッカーフェスティバル,横浜マリノス,朝霞中央公園陸上競技場,P,H,△ 2 - 2,2,2,"3,500人"
8,,,1992.08.19,スーパーロードカップ,ヴェルディ川崎,栃木市総合運動公園陸上競技場,P,A,△ 2 - 2,2,2,"7,000人"
9,,,1992.08.22,1992 ファームリーグ,ジェフユナイテッド市原,江戸川区陸上競技場,S,H,● 0 - 1,0,1,301人
10,,,1992.08.30,1992 ファームリーグ,名古屋グランパスエイト,豊田市運動公園陸上競技場,S,A,○ 2 - 1,2,1,"2,071人"
11,1,,1992.09.05,1992Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ジェフユナイテッド市原,埼玉県営大宮公園サッカー場,LC,H,● 2 - 3,2,3,"4,934人"
12,2,,1992.09.09,1992Jリーグヤマザキナビスコカップ 予選リーグ 第2節,サンフレッチェ広島,広島スタジアム,LC,A,○ 3 - 2,3,2,"3,128人"
13,3,,1992.09.12,1992Jリーグヤマザキナビスコカップ 予選リーグ 第3節,ヴェルディ川崎,等々力陸上競技場,LC,A,● 0 - 1,0,1,"9,022人"
14,,,1992.09.13,1992 ファームリーグ,読売ヴェルディ川崎,等々力陸上競技場,S,A,● 0 - 2,0,2,267人
15,4,,1992.09.19,1992Jリーグヤマザキナビスコカップ 予選リーグ 第4節,鹿島アントラーズ,埼玉県営大宮公園サッカー場,LC,H,○ 3 - 2,3,2,"8,948人"
16,5,,1992.09.22,1992Jリーグヤマザキナビスコカップ 予選リーグ 第5節,横浜フリューゲルス,平塚競技場,LC,A,○ 2 - 1,2,1,"5,684人"
17,6,,1992.09.27,1992Jリーグヤマザキナビスコカップ 予選リーグ 第6節,横浜マリノス,川越運動公園陸上競技場,LC,H,○ 2 - 1,2,1,"7,199人"
18,,,1992.09.30,1992 ファームリーグ,横浜フリューゲルス,江戸川区陸上競技場,S,H,● 3 - 4,3,4,281人
19,7,,1992.10.03,1992Jリーグヤマザキナビスコカップ 予選リーグ 第7節,清水エスパルス,日本平運動公園球技場,LC,A,● 1 - 4,1,4,"5,321人"
